top - 11:28:34 up  2:29,  2 users,  load average: 0,00, 0,00, 0,07
Tasks: 171 total,   1 running, 170 sleeping,   0 stopped,   0 zombie
%Cpu(s): 10,7 us,  5,3 sy,  0,0 ni, 84,0 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem :   3827,3 total,    631,2 free,    289,1 used,   2907,0 buff/cache
MiB Swap:    100,0 total,    100,0 free,      0,0 used.   3371,9 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  487 root      20   0   48524  22116  12820 S  27,8   0,6   2:09.41 vncserver+
17470 pi        20   0   10296   2956   2624 R  16,7   0,1   0:00.06 top
  540 root      20   0  176516  67804  49996 S  11,1   1,7   3:28.59 Xorg
    1 root      20   0   34888   8380   6504 S   0,0   0,2   0:16.64 systemd
    2 root      20   0       0      0      0 S   0,0   0,0   0:00.03 kthreadd
    3 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_gp
    4 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_par_gp
    8 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 mm_percpu+
    9 root      20   0       0      0      0 S   0,0   0,0   0:00.00 rcu_tasks+
   10 root      20   0       0      0      0 S   0,0   0,0   0:00.00 rcu_tasks+
   11 root      20   0       0      0      0 S   0,0   0,0   0:01.93 ksoftirqd+
   12 root      20   0       0      0      0 I   0,0   0,0   0:03.36 rcu_sched
   13 root      rt   0       0      0      0 S   0,0   0,0   0:00.02 migration+
   14 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/0
   15 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/1
   16 root      rt   0       0      0      0 S   0,0   0,0   0:00.02 migration+
   17 root      20   0       0      0      0 S   0,0   0,0   0:01.12 ksoftirqd+
   19 root       0 -20       0      0      0 I   0,0   0,0   0:03.04 kworker/1+
   20 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/2
   21 root      rt   0       0      0      0 S   0,0   0,0   0:00.01 migration+
   22 root      20   0       0      0      0 S   0,0   0,0   0:00.95 ksoftirqd+
   25 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/3
   26 root      rt   0       0      0      0 S   0,0   0,0   0:00.01 migration+
   27 root      20   0       0      0      0 S   0,0   0,0   0:01.19 ksoftirqd+
   30 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kdevtmpfs
   31 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 netns
   35 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kauditd
   36 root      20   0       0      0      0 S   0,0   0,0   0:00.01 khungtaskd
   37 root      20   0       0      0      0 S   0,0   0,0   0:00.00 oom_reaper
   38 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 writeback
   39 root      20   0       0      0      0 S   0,0   0,0   0:00.72 kcompactd0
   57 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kblockd
   58 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 blkcg_pun+
   59 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 watchdogd
   62 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rpciod
   63 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/u+
   64 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 xprtiod
   65 root      20   0       0      0      0 S   0,0   0,0   0:01.27 kswapd0
   66 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 nfsiod
   67 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kthrotld
   68 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 iscsi_eh
   69 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 iscsi_des+
   72 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 DWC Notif+
   73 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 uas
   75 root       1 -19       0      0      0 S   0,0   0,0   0:00.03 vchiq-slo+
   76 root       1 -19       0      0      0 S   0,0   0,0   0:00.01 vchiq-rec+
   77 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 vchiq-syn+
   78 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 zswap-shr+
   79 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 sdhci
   80 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/47-mm+
   82 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 mmc_compl+
   87 root      20   0       0      0      0 S   0,0   0,0   0:01.61 jbd2/mmcb+
   88 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 ext4-rsv-+
   89 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 ipv6_addr+
  106 root       0 -20       0      0      0 I   0,0   0,0   0:02.43 kworker/3+
  119 root      20   0   21428  11276  10256 S   0,0   0,3   0:02.76 systemd-j+
  149 root      20   0   18604   3984   3108 S   0,0   0,1   0:01.18 systemd-u+
  184 root      20   0       0      0      0 S   0,0   0,0   0:00.00 vchiq-kee+
  185 root      10 -10       0      0      0 S   0,0   0,0   0:00.00 SMIO
  195 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 mmal-vchiq
  211 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 mmal-vchiq
  220 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 mmal-vchiq
  227 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 mmal-vchiq
  248 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 cfg80211
  255 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 brcmf_wq/+
  257 root      20   0       0      0      0 S   0,0   0,0   0:02.71 brcmf_wdo+
  260 root      -2   0       0      0      0 S   0,0   0,0   0:07.52 v3d_bin
  263 root      -2   0       0      0      0 S   0,0   0,0   0:09.47 v3d_render
  264 root      -2   0       0      0      0 S   0,0   0,0   0:02.01 v3d_tfu
  265 root      -2   0       0      0      0 S   0,0   0,0   0:00.00 v3d_csd
  266 root      -2   0       0      0      0 S   0,0   0,0   0:00.00 v3d_cache+
  279 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 card1-crt+
  319 systemd+  20   0   22416   2964   2380 S   0,0   0,1   0:00.35 systemd-t+
  361 root      20   0    7948   2096   1920 S   0,0   0,1   0:00.04 cron
  364 root      39  19   11768   4588   3988 S   0,0   0,1   0:00.07 alsactl
  365 root      20   0   27656     80      0 S   0,0   0,0   0:00.22 rngd
  370 root      20   0   25512   2724   2416 S   0,0   0,1   0:00.79 rsyslogd
  372 message+  20   0    6980   3604   2932 S   0,0   0,1   0:01.86 dbus-daem+
  376 root      20   0   65220  10700   8788 S   0,0   0,3   0:01.14 udisksd
  379 nobody    20   0    4320   2196   2024 S   0,0   0,1   0:00.10 thd
  383 root      20   0   10744   3728   3356 S   0,0   0,1   0:00.10 wpa_suppl+
  386 avahi     20   0    5892   2504   2252 S   0,0   0,1   0:02.21 avahi-dae+
  387 root      20   0   13156   5828   5140 S   0,0   0,1   0:00.78 systemd-l+
